category,items,avg_freight,freight_per_kg,freight_pct_of_price
electronics,2729,16.74,21.71,29.5
food_drink,269,16.34,14.51,29.4
furniture_living_room,495,35.75,4.41,26.3
kitchen_dining_laundry_garden_furniture,274,42.12,4.71,25.3
drinks,361,15.07,15.46,25.3
office_furniture,1668,40.2,3.55,25.0
food,499,14.16,21.89,24.6
furniture_decor,8160,20.64,7.82,23.7
housewares,6795,21.01,6.53,23.2
books_technical,263,15.97,15.73,22.5
telephony,4430,15.65,60.01,22.4
luggage_accessories,1077,27.93,4.81,21.7
fashion_shoes,257,18.73,17.95,20.9
costruction_tools_garden,232,22.36,9.6,20.7
stationery,2466,18.57,6.77,20.5
garden_tools,4268,22.65,8.06,20.5
fashion_bags_accessories,1985,15.39,40.79,20.5
industry_commerce_and_business,265,28.61,4.33,19.7
bed_bath_table,10945,18.42,8.69,19.7
books_general_interest,537,16.54,22.2,19.6
market_place,305,17.44,15.97,19.1
construction_tools_lights,301,24.88,7.35,18.7
pet_shop,1924,20.23,6.95,18.4
home_appliances,754,19.19,9.92,18.4
sports_leisure,8431,19.38,11.36,17.1
home_construction,596,22.84,7.52,16.7
baby,2981,22.23,6.82,16.6
computers_accessories,7644,18.84,20.97,16.2
toys,4030,18.8,10.15,16.1
,1520,17.58,10.62,15.7
auto,4140,21.86,8.42,15.6
home_confort,429,19.65,6.29,14.5
health_beauty,9465,18.91,18.05,14.5
construction_tools_construction,916,22.13,7.15,14.3
perfumery,3340,15.88,32.84,13.6
cool_stuff,3718,21.91,8.61,13.4
consoles_games,1089,17.53,39.25,12.9
air_conditioning,289,22.6,5.52,12.2
audio,362,15.7,12.85,11.2
musical_instruments,651,27.45,8.76,9.7
home_appliances_2,231,44.39,4.97,9.5
watches_gifts,5859,16.75,28.68,8.4
small_appliances,658,23.33,7.97,8.4
fixed_telephony,255,17.65,31.56,8.1
agro_industry_and_commerce,206,27.37,7.43,8.0
